Index,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63
0,0.03779574,-0.14826886,0.060160812,0.24309516,0.08573284,-0.020889664,-0.19451502,0.16953228,-0.27043036,-0.18384816,0.31235263,-0.00218407,0.012275493,-0.012543794,0.20400742,0.07062411,0.116119735,-0.0018968283,0.23348604,-0.09279336,0.05197622,0.27460414,0.038627528,-0.11203048,0.09109047,0.047957458,-0.008233097,0.0847056,0.1256399,0.21882719,0.008437195,-0.0011101039,0.10076453,0.17410545,-0.13958491,-0.006890686,-0.21568145,-0.09123617,-0.0071264333,0.04846906,-0.18149854,-0.04304883,0.16591202,-0.07451411,-0.021906333,0.110994324,-0.11280731,-0.07870842,0.07260427,0.10948998,-0.11332785,-0.041853014,0.17805791,-0.056156818,0.05946306,0.064182304,0.1391078,-0.115609966,0.084798455,0.24386767,-0.23790133,-0.10701909,-0.0062117977,-0.04073581
1,-0.01025531,-0.19066972,0.16202772,0.42494926,-0.0074822493,-0.057853986,-0.12239465,0.17816427,-0.26816764,-0.37606126,0.30651605,0.03983728,-0.15297224,-0.06363636,0.15605092,0.14145894,0.102933474,-0.03267239,0.27591872,-0.11897378,0.08842942,0.19104059,0.13703369,-0.19867912,0.28085402,0.023959275,0.18556297,0.2717808,0.008675759,0.06689708,0.109697044,-0.22532941,0.039668176,0.013525201,-0.30953068,-0.011252982,-0.2134676,-0.04605887,-0.069260046,0.052093524,-0.06534044,-0.036654178,0.07687846,-0.16094457,0.090390384,0.20979428,-0.066946715,-0.12003114,0.33299324,0.11216746,-0.07375449,0.054177895,0.20418529,0.040324304,-0.01661255,-0.0054573095,0.016226398,-0.07017957,0.17809899,0.20951459,-0.13188718,-0.112229094,-0.042378683,0.09857384
2,0.09240344,-0.22734244,0.38309315,-0.012837895,0.035794947,0.124521054,0.059605278,-0.24531361,0.013949542,-0.16458003,0.31417742,-0.07514075,0.28307036,0.029271007,0.16850695,0.010349022,0.2868681,0.29051748,0.123686306,0.24863529,0.10004934,0.07628206,0.14395863,-0.052145492,0.39172396,0.099121794,0.008892208,0.39745027,0.38836116,-0.19294111,-0.10119989,-0.22526893,-0.19956407,0.12635607,-0.016141757,-0.12607093,-0.19826639,-0.12768918,0.24269204,0.14417805,0.14859241,-0.22978479,-0.021049688,-0.11239526,0.13346457,-0.2716895,0.09752695,0.007705788,0.4057436,0.15688261,0.11145825,-0.23949318,0.37187034,0.078328125,0.019051611,-0.1076726,0.28121728,-0.08428422,-0.06234783,0.29466513,-0.025181534,0.109570034,0.045738503,0.035438668
3,0.13017033,-0.3022804,0.17514099,0.009324361,0.11024928,-0.005175356,0.06286086,-0.26050833,0.012862708,-0.13366272,0.19380961,-0.07914238,0.27396148,0.12978774,0.20901355,0.00032031367,0.28636992,0.19921105,0.20250589,0.19308694,-0.036394235,0.07290582,0.12690406,-0.106828384,0.43932018,-0.026795898,0.023355504,0.25985518,0.4133161,-0.1503422,-0.05000333,-0.12166954,-0.19792455,0.05463307,-0.12672,0.02516536,-0.055698805,-0.032912333,0.10541751,0.101120465,0.003941714,-0.13348737,0.093757376,-0.13020274,0.13359323,-0.11264152,0.03247254,0.06076999,0.3197623,0.26051307,0.051484868,-0.44021544,0.2809769,-0.028375257,0.1207055,-0.1360031,0.24673845,-0.0016914194,0.049144957,0.2506941,-0.042097073,0.08053965,-0.14078781,-0.08490814
4,0.13361888,-0.19185318,0.33595306,0.04702534,0.09921772,0.045510475,-0.03532039,-0.16708831,-0.053749304,-0.13040291,0.31015602,-0.11789317,0.27162212,0.12095503,0.14470054,0.15533672,0.2735611,0.27627182,0.17537057,0.10623435,0.054930598,0.19132975,0.07875266,-0.1714238,0.40587598,0.03596827,-0.013313509,0.50910896,0.42164153,-0.039104253,-0.06417668,-0.057909787,-0.2164118,0.08818278,-0.040325873,-0.012344292,-0.012221785,-0.12894052,0.14072098,0.021785138,0.10312955,-0.14604512,-0.0649367,-0.20316792,0.080977514,-0.12879458,0.09196545,0.047341686,0.2949343,0.20224932,0.24628824,-0.30243033,0.27035528,0.009054509,-0.078493975,-0.10673078,0.21455821,0.04215405,-0.06652076,0.17225124,0.14593196,-0.016447362,0.061545026,-0.027377388
5,0.016943295,-0.1743647,0.16013792,0.10568531,0.029239452,0.08618125,-0.0010954767,-0.28584975,-0.0061510312,-0.1514745,0.32011297,-0.059021447,0.32075274,0.12295153,0.27204224,0.09211808,0.33420867,0.41700372,0.2564374,0.24704793,0.06922089,0.09429619,0.090981744,-0.047496915,0.48135978,-0.06655256,0.0032938633,0.4742141,0.39935106,-0.18001579,-0.02881983,-0.097085536,-0.22009797,0.10714893,-0.09340201,-0.16051513,-0.10820812,-0.14700615,0.10055393,0.13669224,0.26895484,-0.27826968,-0.008534605,-0.012979899,-0.061124172,-0.07159991,0.1528425,0.094804294,0.34095135,0.0984488,0.18654622,-0.41023487,0.1764854,0.12424561,-0.0016864574,-0.20544793,0.33630297,0.08285504,-0.13680519,0.3646513,0.00693979,0.06701361,-0.0036358235,0.13941196
6,0.1351653,-0.14383386,0.28173473,0.046446063,0.003640978,0.00810456,0.023132015,-0.26832965,-0.1310405,-0.09426416,0.14824861,0.10773664,0.22362629,-0.03520481,0.10389853,0.119402885,0.374546,0.3081548,0.18135883,0.191002,-0.0028356328,0.10721271,0.13881756,-0.13547763,0.4139601,-0.050796602,0.025676595,0.5917546,0.43623462,-0.0014648472,-0.04769944,-0.06394857,-0.053333458,0.16558796,-0.109177135,-0.03310056,-0.13377899,-0.10598653,0.33421677,0.10865132,0.22048976,-0.31682563,-0.10239589,-0.13261063,-0.0101193255,0.051766038,0.09371261,-0.02782168,0.22707702,0.19184104,0.1443088,-0.32978666,0.38645005,0.02687088,0.016420644,-0.028559994,0.16839334,-0.006089344,-0.13762021,0.3058638,0.040168747,0.036566325,-0.10108974,-0.023574455
7,0.22570425,-0.25178176,0.21104982,0.06324618,-0.04731459,0.015275102,0.0059150713,-0.24768831,-0.02633745,-0.10590466,0.25982022,-0.038372967,0.18559077,0.1793343,0.19946411,-0.029588228,0.2714746,0.21193117,0.0819745,0.058421955,-0.02037863,0.08573099,0.24249716,-0.14386065,0.4900884,0.034999393,0.0020980523,0.36846966,0.34948805,-0.019857924,-0.13912019,-0.13164003,-0.28784105,0.21274912,-0.07500446,-0.017034387,0.037977137,-0.107018255,0.33335993,0.05879742,0.08167635,-0.15927315,0.045265555,-0.31438032,-0.015920093,-0.04773716,0.070930704,0.10145499,0.17489119,0.11398023,0.14726618,-0.449304,0.31764647,0.14887542,0.045899168,-0.08222888,0.29139948,0.0010220072,-0.08660543,0.4542621,0.17912354,-0.071773134,-0.035306767,0.012145481
8,0.1486204,-0.10676753,0.27914032,-0.011813836,-0.06480151,-0.048116323,0.092819884,-0.19981927,-0.1547058,-0.2511518,0.32535937,0.0049677747,0.39901656,0.026959624,0.16485527,0.18670234,0.33079612,0.27491802,0.12470726,0.18907164,-0.0502655,0.20396405,0.21190298,-0.008680541,0.25965053,0.032724567,0.17830253,0.41053295,0.39660525,-0.07013372,-0.103641436,-0.23580821,-0.1820407,0.0172847,-0.2511306,-0.14402656,-0.010241408,-0.04413669,0.23640841,0.15636571,0.10343545,-0.13831818,0.0067935414,-0.12322333,0.019250896,-0.14603162,-0.006434722,0.033379957,0.2482605,0.22177747,0.1612723,-0.41055667,0.16473775,0.20238952,-0.009413762,-0.07045699,0.057368387,0.14400226,-0.0501016,0.2885292,0.07516635,0.057618886,-0.059582084,0.052030817
9,0.10980426,-0.18742532,0.041961893,0.08622549,-0.11132653,-0.05738185,-0.17759815,0.1182129,-0.14908169,-0.20749988,0.2166996,-0.095024735,0.0090031475,0.018866695,0.17088924,-0.052969597,-0.08816242,-0.062186968,0.115821876,0.1404646,0.11506316,0.19906816,-0.00035698156,-0.018601224,0.069835715,-0.004169313,-0.08904253,0.2323669,0.15402973,0.15981974,-0.04881549,0.06929043,-0.09517168,0.05094683,-0.0022938726,-0.121788695,-0.12360442,0.030888788,0.10898288,0.07807644,-0.026105324,0.07239743,-0.0016856387,-0.071836494,0.11370912,0.07817097,0.080797344,-0.1351512,0.12629642,0.10500996,0.035158746,0.0053531844,0.06917502,-0.06522586,0.052295566,-0.023727851,-0.016189732,-0.10182584,0.12214545,0.23434542,-0.13826735,-0.06759512,0.02508682,0.06495536
