,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,0.0048401915,0.0019506104,-0.0015889611,0.000817813,0.00048357435,0.0039294716,-0.0022186618,-0.005248783,0.002722675,0.0039446317,-0.0070113074,-0.007511854,-0.0059802756,0.00030681677,-0.0071184468,0.005484566,0.0074740443,-0.000648085,0.0022329763,-0.0057252534,-0.001988653,0.006454924,0.0002710838,-0.0041192174,-0.0019023642,-0.007486742,4.7942623e-05,9.4467774e-05,0.0050246734,-0.0007859152,0.0005960297,-0.0032627843,0.0029048398,-0.0071075466,0.0013587549,-0.00072499365,0.00027122162,0.0030781422,-0.0055101737,0.004258562,-0.0017838515,0.007690506,0.00032276288,-0.0022218153,0.0014326684,-0.006407542,0.0012974516,0.0032240022,0.0025836173,-0.00063417666,0.0062186383,-0.0034434013,0.00040670484,-0.0032784268,0.004642939,0.0025729835,0.0046165995,-0.0027327146,-0.003996711,-0.0060684085,-0.0030714124,-0.00148247,-0.0052735433,0.0018936321,-0.0029002689,0.006474158,-0.0059282444,0.0013713893,-0.0041062906,-0.0016792137,-0.007660771,0.004904136,0.0032489412,0.0010992009,0.007153351,-0.0029724184,-0.0054578856,-0.0005175043,0.0048732217,-0.004993947,-0.003194835,-0.0013856106,-0.00536249,-0.0064585507,-0.006059071,-0.0029535443,-0.0033292677,0.0008452777,-0.0031228662,-0.0014965236,0.004616538,-0.003693577,0.0068417173,-0.0022718199,-0.004130259,-0.0014378373,0.007311184,-0.004726073,-0.0001632683,-0.0023401435,0.006595608,0.0009268839,-0.0037408173,-0.0017340593,0.00773328,0.0044516623,-0.004182834,-0.0039758347,0.0033231787,-0.0031283982,0.00049618445,0.0033857469,0.0022638217,0.003079351,0.003991708,-0.0046466608,-0.0029710215,-0.0048291367,0.0019323938,-0.004534222,-0.0006117169,-0.00571114,0.00089956075,0.002341399,-0.0073946025,0.00026511773,-0.00087641366,-0.002455078
miRNA_1,-0.0023674406,0.0037547406,-0.006318299,0.007730374,-0.00053858384,-0.003881516,0.007302778,0.0023588538,-0.007482374,0.0073011573,0.0025373083,0.0057471227,-0.0061409343,-0.0029894225,-0.0048638433,-0.007784242,0.0016218163,0.005423896,0.0011523999,0.0041971803,0.0019085817,0.006150473,0.005205717,0.00568578,-0.006081702,-0.0009206105,-0.0072958637,0.005475698,-0.006783543,-0.0020956378,0.0061420966,-0.0025023725,-0.00733649,-0.0020993743,0.0033453293,0.0043584574,-0.0053738225,0.00724357,0.007543238,-0.0065528434,9.332597e-05,0.005866194,0.0048883166,0.0025227703,-0.0043587703,0.0033434108,0.0055918153,-0.0038061664,0.0011916962,0.0026130788,0.0008593593,0.0037212707,-0.0013810396,0.002220951,0.007353587,-0.006852621,-0.0005241763,0.0039487313,0.0024028048,0.0029237792,-0.0041785035,0.0011517033,0.0034818463,0.0021159202,-0.00022195652,0.0005655084,-0.0035714917,-0.005017359,0.001447605,-0.0011157822,-8.767098e-05,0.0024208613,0.0022209845,0.006199157,0.0062892064,-0.00018136017,-0.0027061645,-0.002401298,-0.0056181997,-0.0077067893,-0.004903825,-0.006525036,-0.005131386,0.0022251345,0.0020979308,0.0008888338,0.004803892,0.0020848997,0.0068037845,-0.0049010348,0.006725073,-0.004422566,-0.0034155864,0.0064312443,-0.0022012498,-0.000609152,0.0064405277,-0.00294126,-0.0069956854,0.0030172784,0.00073455274,-0.004396502,-0.006704597,-0.003336696,0.0072123464,-0.00592798,-0.00026756898,0.0036457032,-0.0022339523,0.00508745,0.006107725,0.0016563665,0.0053288415,0.0021294858,-0.0031471401,-0.006676117,0.0053880364,0.00547231,-0.007017847,0.002348613,0.0037376322,-0.0017761849,0.0004274659,0.00096217357,0.0012645796,0.007395182,-0.005716631,-0.00057467073
miRNA_2,-0.20143083,-0.01728048,-0.038674645,0.23687012,-0.16913626,-0.17550412,0.068552345,0.17635535,-0.042620193,0.22577596,0.13738188,0.0128476815,-0.18290071,-0.090382166,0.16404352,0.22156215,-0.30884254,0.2678342,-0.3519122,0.05021782,-0.0029598342,0.16913292,0.38651493,-0.14808613,-0.23966406,0.021840056,-0.05595824,-0.1578055,-0.26975465,-0.14436561,-0.23579842,-0.16928114,-0.30997887,0.54118603,0.23866035,0.15490305,-0.116780736,0.09894904,0.37714913,0.14078063,0.07494737,-0.17981407,-0.25633582,0.20792274,0.1071564,0.47218275,-0.403285,0.09114541,-0.0650904,0.33289415,-0.18093295,-0.18354437,0.21223265,0.18470699,0.3105831,0.0926223,-0.039537556,-0.026549645,-0.23588008,0.3038328,0.21762848,0.10228744,-0.06625504,0.37162995,-0.15304025,-0.19637775,0.067150086,0.11566199,-0.00035989442,-0.31421047,-0.24691972,-0.2573871,-0.27646115,-0.37276506,-0.33307013,-0.32198715,-0.08862166,0.32168397,-0.081810094,-0.03905636,0.093029395,0.07531507,-0.029805072,0.3398807,-0.22858745,0.41382557,-0.041110653,0.22754702,0.021013865,0.15100986,0.13308923,0.043699995,0.033256996,-0.24920806,0.15844415,-0.13087535,-0.0800818,0.02079551,-0.16889797,0.03148358,-0.17065242,0.06190139,-0.16151923,0.15914215,0.43736982,0.172389,0.13425393,-0.32436994,0.22278649,0.22737132,-0.023445839,-0.33896744,0.03389562,-0.10976962,-0.12880772,-0.060490582,0.04399969,-0.30723858,0.10668683,0.17546122,-0.42169553,0.04797092,-0.0020563947,0.034480434,-0.09687731,0.019093655,-0.027956165,0.011029685
miRNA_3,0.01063489,-0.3233803,0.11134604,-0.11171866,-0.07984732,-0.12169824,0.122580454,0.1947146,-0.031845093,-0.12735918,0.26051787,0.033685558,-0.20335115,-0.023516774,-0.23712309,0.32445976,-0.20612122,0.045213826,-0.28081384,-0.06361789,0.11213671,-0.3254163,-0.17096934,0.16781941,0.06399665,-0.16830449,-0.033288006,-0.015099396,0.17848487,-0.20398119,0.23865831,-0.21987118,0.004130433,0.15811433,0.04717192,-0.054835748,-0.12981921,0.04159591,-0.07398972,-0.13519229,0.19649082,0.20801906,-0.16579984,-0.19225977,0.24244733,-0.019160619,-0.44101048,0.00059411064,-0.24374682,-0.013838815,0.28594452,0.052122068,-0.09318456,0.44224223,-0.0008330179,-0.090539664,0.018199192,-0.31168368,-0.29186538,0.1689334,0.3773682,0.1570029,-0.09257059,0.30054712,0.038827457,0.16092414,-0.2048266,0.15104817,-0.056063075,-0.055553466,0.10962702,-0.3768777,-0.17559244,-0.32729766,-0.20731059,-0.11339735,-0.080718905,-0.17567146,0.08145026,0.21425116,-0.3893877,0.20729016,0.14516614,0.18900323,-0.0107689025,-0.039030857,0.1538429,-0.0529635,-0.15735792,0.08611551,-0.14655663,-0.03003144,0.123169705,-0.020676658,-0.043771565,0.037298594,-0.14659156,-0.22389598,0.055524856,0.23368894,0.09475948,0.390808,-0.04132078,0.13824809,0.21052225,-0.07774014,-0.40143618,-0.09185859,0.20331845,-0.010043321,0.20952754,0.021115515,-0.49324873,0.170995,-0.27597725,0.031853493,0.10890041,0.19492579,0.07458786,0.112087235,-0.16129547,0.072402336,-0.19635557,0.38349947,-0.104137436,0.009964191,-0.10962932,0.09773684
miRNA_4,0.0014619641,-0.0030143484,0.0038137808,0.006335998,-0.0059276763,0.0024055727,-0.0049462505,0.007689409,-0.0076872893,0.0025627762,0.0015854146,-0.0053382274,0.007300649,-0.00089679286,0.0063998234,0.0018044561,-0.0070600975,-0.00092932396,-0.0007313695,-0.005337054,0.0018467549,0.0052108224,0.0006641671,0.00727365,-0.0030187387,-0.0067912973,-0.0044715647,0.003210999,0.0049189385,-0.0028231815,-0.0031314585,-0.0006925035,0.0054261405,-0.0037150122,-0.00418018,0.0058317333,-0.0062572695,0.0061013326,0.0028000847,-0.002398558,0.0057699904,0.0024977494,0.0019102562,-0.006483063,-0.0063543227,0.0041345116,0.004763143,-0.0064402707,0.0061674155,0.005429819,-0.007112045,-0.0005118605,-0.0041652843,-5.5203214e-05,-0.003079811,0.0010236632,-0.0053786095,-0.0064150617,0.0023264457,0.0032959264,0.0055516027,0.0021112654,-0.0027361475,0.0029801577,0.0035012104,-0.0028428454,0.0057984106,0.00020592287,-0.003196735,-0.00286844,-0.0014252327,-0.0005807243,-0.0018007662,0.0039462764,-0.0055729486,0.007525189,0.0041472632,0.0024600103,-0.00059583597,-0.00039902143,0.005523056,0.0023531858,-0.00090336613,-0.0067117997,-0.0055412482,-0.0012813453,0.0012475103,-0.0007420294,-0.0041875485,-0.0009166971,-0.007237522,0.0051839,0.0073539186,0.004916843,0.004313208,0.0027188193,-0.002410436,0.0045455303,-0.007073125,-0.0018096305,0.0038257837,-0.0068062805,0.0026740767,-0.007763611,-0.00534112,-0.0038151685,0.0017486531,0.0059685577,-0.0040902086,0.0037121177,0.0040661953,-0.0011766609,0.007587649,-0.0061890893,0.0006682612,-0.0067342594,-0.0005408358,0.005686404,-0.0052514374,0.0042677876,-0.0077748448,-0.0058130007,0.0046573225,0.0071902163,0.000120332465,0.0023223963,-0.0037237164,0.0019721873
miRNA_5,-0.14672111,0.02116485,-0.17980869,0.13061577,0.043734614,-0.09124592,-0.08956446,0.23316532,0.08483511,0.23103575,0.16643263,0.08623382,-0.028377969,0.09990732,0.019173305,-0.0028261328,-0.15019734,0.03634764,-0.30909568,0.214104,0.061560143,0.13639116,0.18461579,-0.42398056,-0.028983636,-0.01789893,-0.22917467,-0.004313058,-0.28500792,-0.08055919,-0.31684133,-0.25301495,0.030300679,0.22425106,0.36116216,0.09107398,0.077485085,-0.17625302,-0.0027603623,-0.107732356,0.015376016,-0.2200374,-0.12152723,0.054039713,0.16419315,0.1269583,-0.07478241,0.14200848,-0.018748388,0.011049631,-0.022852642,0.37016007,0.30006003,0.07283303,0.0036040533,0.07465077,0.07027878,-0.20447238,0.11534947,0.18615475,-0.15936713,-0.17697707,0.03621457,0.21666783,-0.026604427,-0.20265615,0.05338254,-0.10856408,-0.094004005,0.20138758,-0.14289615,0.09624864,-0.21728614,-0.43036744,0.06983234,-0.11764435,-0.41633704,0.04857669,-0.29130828,0.114309125,0.075682774,0.15132011,0.04719934,0.14143243,-0.06540729,-0.043815445,-0.031949617,0.27765885,0.029885534,0.24587825,0.17520292,-0.028099952,-0.036019016,0.0064307004,0.32852638,0.040024146,-0.15709434,-0.029049087,-0.057267465,-0.080184795,-0.04879626,0.029471269,-0.25983378,0.28045163,0.31917772,0.062634684,0.1453107,-0.09713119,0.21503492,-0.10229719,0.07897702,-0.17850497,-0.093041606,0.02450251,0.28584653,-0.1426213,-0.08629835,-0.0045137014,0.10456794,0.01712638,-0.42149612,-0.08177671,-0.19544178,0.074918576,-0.03607654,-0.03360808,-0.19297487,-0.043775313
miRNA_6,-0.15150158,-0.16377042,-0.21795325,0.06461885,-0.17238952,0.24540763,0.037737213,0.046365872,0.06061609,-0.032785606,0.1787563,-0.32301065,-0.115852036,-0.13796596,0.16344601,-0.23140055,-0.2183402,0.07254991,-0.4161793,0.26907027,-0.004005669,0.07519951,-0.09699217,-0.38073862,-0.11508255,0.08604655,-0.14822285,0.040018268,0.1506973,-0.29164022,-0.17137407,0.23203395,0.14117546,0.15528119,-0.17694175,0.15783769,-0.14209998,-0.19423974,0.04444533,-0.20187755,0.24598846,0.24627616,-0.047437377,-0.37001413,0.11306519,-0.16807035,-0.36278936,-0.0045853797,0.17369625,-0.23781468,0.25749514,0.0458893,0.09185649,-0.06638243,-0.0924528,0.07405683,0.11105495,-0.04293504,-0.03938072,0.20990478,0.06632093,0.017671475,-0.028539069,-0.005950695,0.24763373,-0.034825042,0.057751454,0.19218822,0.10322545,0.0678834,0.0458619,0.09922628,-0.21461195,0.019422268,-0.21645023,-0.10344694,-0.22008169,0.18394975,-0.05447964,0.36487904,0.021581665,0.05108609,0.092831045,-0.057269014,-0.074520804,-0.17907836,0.12573102,-0.12114983,0.06762656,0.20009498,-0.110894494,-0.22886549,0.2437867,0.08226131,0.37406906,-0.055885084,-0.10278137,-0.0355858,-0.101583324,-0.43369785,-0.099388964,0.21161401,-0.057227265,0.07506599,0.07418735,0.076866455,0.01451819,0.018029131,-0.07208231,-0.11631498,-0.14919078,-0.21977994,0.09038119,0.020365784,-0.11946863,0.1011536,0.18359426,-0.06772337,0.16388266,-0.46726078,0.010445584,-0.010463298,-0.20520969,0.11415201,0.12194619,0.06520294,-0.12555888,-0.14897063
miRNA_7,-0.28738695,-0.03321029,0.17640889,0.05743697,0.13620377,-0.017188484,-0.059361942,-0.16246596,-0.060247686,-0.124875665,0.22810751,-0.0054306765,-0.057205807,0.13534501,-0.05242849,-0.049847566,0.06892019,0.07549836,-0.20069578,0.11671577,-0.087151594,0.07964912,-0.13606097,-0.11420295,-0.046471097,-0.08748614,-0.21587719,0.05556275,0.11253059,-0.29703662,-0.2409496,0.25191203,0.16271012,0.13921408,0.17237242,0.02677083,0.23086786,-0.15338662,-0.1279449,-0.105454616,0.07648413,0.08191858,-0.014018588,-0.082148224,0.21138881,0.3069722,0.09330413,0.09686292,-0.027239243,-0.015845887,0.19848096,0.0002787107,0.10093598,0.1943357,-0.17859523,0.13127907,-0.032695603,-0.06509599,0.11071527,-0.03217771,0.0821562,-0.16478749,0.06653814,-0.014400212,0.04826877,-0.1849049,0.06945201,-0.09797449,0.13034648,-0.08977905,-0.13557848,0.020093262,-0.15175611,-0.29826933,0.18235216,-0.28470024,-0.28030506,-0.044469953,-0.260349,0.06792695,0.26342657,0.018554773,0.15952006,0.29340103,0.045173474,-0.027008474,0.06317453,-0.121366195,0.018368045,0.24641658,0.022510512,-0.34343582,0.07134796,0.08589752,0.13429688,0.19114217,-0.11997096,-0.045896277,-0.06766402,-0.13882874,-0.06996638,-0.027261833,0.14019005,0.116607994,0.22042747,0.24525447,0.076260544,-0.08162979,0.25893137,-0.03230477,0.052569315,-0.05234502,-0.34259164,0.006407826,-0.2537374,-0.14984262,0.09864412,0.205111,0.080752976,-0.049352802,-0.18809226,-0.085729204,8.268232e-05,0.18655406,-0.0982761,-0.00827695,-0.2697762,-0.1195885
miRNA_8,-0.009116335,-0.11364451,-0.12651478,-0.020009764,0.025613843,0.006287189,-0.21947052,0.07721524,-0.09759752,0.29257345,0.06994185,-0.036191594,-0.19110501,0.065231115,0.07789943,-0.08643188,-0.13444346,0.04593306,-0.22968926,-0.111385405,0.12095559,0.03501944,0.10361805,-0.11581961,-0.15316427,0.03750239,-0.3622572,0.1375637,-0.13309626,-0.09729719,-0.070894726,0.0483901,-0.023347812,0.010483393,0.15215553,0.21149352,0.13280393,0.19423646,0.05259898,-0.12157588,0.00433994,0.23280424,-0.23248148,-0.21060559,-0.027199876,0.16728124,-0.25708514,-0.04911915,-0.11196213,0.050604645,0.15812983,0.20899689,-0.21151654,0.25095695,-0.10990625,0.10771354,0.01699275,-0.120229274,-0.093018435,-0.124269016,-0.23428258,0.13643077,0.04467809,0.030966932,0.0023431354,-0.12731357,0.057862673,0.0610724,0.107401535,0.034744307,-0.118856624,-0.08658522,-0.06888364,0.006291295,-0.13874406,-0.011915451,-0.23095283,0.025306575,0.03627762,0.061989386,-0.1368915,-0.16579102,0.36440352,0.05795185,0.03346508,0.016949942,-0.014993586,0.13284579,-0.16881378,-0.0062498515,-0.1168777,-0.099285096,0.12678802,-0.10574942,0.2812282,-0.1698431,-0.10156209,-0.058058124,-0.17788438,-0.13452438,-0.12911825,0.009696533,0.017409785,-0.024739526,-0.055522263,0.11103056,-0.089454696,0.10771226,0.16749649,-0.03700462,-0.017599385,-0.12700324,-0.026392637,0.098581694,-0.058352754,-0.011161385,0.01874019,-0.08645348,0.020855756,-0.1762275,-0.37409934,-0.096796624,0.08893988,-0.042997897,-0.3396126,0.048505254,-0.085263535,0.07724892
miRNA_9,0.0032847375,7.819757e-05,0.004097916,-0.0042936634,-0.0022901744,0.0028806794,-0.0019416753,0.005359767,-0.003657138,3.3874065e-05,-0.00071241334,0.0013134181,-0.006379783,0.0047996417,-0.0017851703,0.0037991162,-0.00265708,0.0064618867,0.0026001,-0.002565559,-0.0012420136,-0.005560631,-0.006853489,0.0018445589,-0.0051993523,-0.0039606933,-0.0055146553,0.0021303426,-0.0038576964,0.0033277906,0.002686547,-6.78692e-05,0.006537512,-0.0068333074,0.003945872,0.0067860745,-0.0066273417,0.007633779,-0.0024878122,-0.006404657,0.0024156477,0.0059295595,0.0026034564,0.0039361306,0.0076276995,0.0044760387,0.0062748063,-0.00061248615,-0.0017580725,-0.0044289157,0.006290799,0.006580321,-0.0037463866,0.006877193,-0.0064106416,0.0040096287,0.007478783,-0.0056011174,0.002666792,0.006028289,0.0027382262,-0.0008319076,-0.0035417285,0.002575796,0.006217465,-0.0010757744,0.0012512319,-0.004048977,-0.00040421262,-0.0037080105,0.0020357594,-0.00026893988,0.005932577,0.0013737418,0.0077099185,-0.0054755565,-0.0046387427,-0.0009982903,-0.0004539434,-0.00226474,-0.0061334167,-0.0062678102,-0.00555514,-0.0029722247,6.22198e-05,0.0034406446,0.0067920163,0.0016624667,-0.0052483603,0.0018753521,-0.005685298,0.003808301,-0.0015006792,-0.0006542485,0.006261671,-0.0016437545,0.0048408154,0.007704586,-0.007749399,-0.0005992856,0.003719261,0.004661154,-0.00046740472,-0.005839132,0.0049969126,-0.002446197,0.00207204,-0.0071983878,-0.006923208,-0.0031243153,-0.0040672775,0.0016897153,-0.006216718,-0.0010703094,-0.0050049573,0.007656362,0.0014847573,-0.004378082,-0.0068581514,0.007407766,-0.0062937587,0.007484531,-0.002966741,0.0006977618,0.0022786,-0.0023903958,-0.006445311,-0.0070659164
