,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,0.003284542,-0.0025959183,-0.006103387,-0.005963944,-0.0058378633,0.0022689253,0.0064015016,0.001069067,-0.006752126,0.0010026619,-0.0011763666,0.0062884614,0.0038096197,-0.005549079,0.006071236,-0.00089419447,-0.005122395,0.004024539,0.0036966614,0.0050538927,0.0053294543,0.002519941,0.0032196268,-0.0071952213,0.00016883574,0.0074397027,0.0020882096,-0.0013611112,-0.0020406935,0.00594143,-0.0003132634,-0.002358809,-0.0004858449,0.0039492883,0.0064947736,-0.0029857736,-0.0040145144,-0.0010898784,-0.0045976434,-0.002246296,0.005793957,-0.0032478478,-0.0012390614,0.0041490775,0.0038756747,-0.005847413,-0.003535606,0.0017836187,-0.002161825,0.0038589053,-0.005033741,-0.0021595508,-0.007488977,0.004056344,0.004861843,-0.0016910844,0.0048187207,-0.0028084759,-0.0064996276,0.00035110302,0.000660738,-0.004781099,0.0066895857,-0.005768584,0.0038526133,-0.003816964,0.0073792394,0.0024943817,0.002047697,-0.007604696,0.0039419457,-0.0054250304,-0.006396372,-0.0015532989,0.0064263754,-0.0036597475,-0.002442304,-0.0019088704,-0.003950827,-0.007456396,0.00428587,-0.0050545987,0.007744305,-0.0063422825,0.0026247632,-0.00067561865,-0.0004893746,-0.0023345202,0.0032561738,-0.00026741996,-0.0017562434,0.0029445253,-0.00477558,-0.0060671587,0.0057835113,0.0061253943,-0.0018922128,-0.005310843,-0.0004996937,-0.0046682656,-0.005101133,0.00171021,0.0064805187,0.0025960896,-0.0074750036,0.004573047,-0.002944909,-0.00049766153,0.0073906183,-0.0042944327,0.005452344,-0.0019814316,0.002818847,-0.0013211928,-0.007424727,-0.002668336,0.0021830462,-0.003168961,-0.0042012557,-0.0006784331,-0.0052419007,0.004796393,-0.001439739,-0.0038565882,0.0035414603,-0.0051718764,-0.0024863686,0.0015564803
miRNA_1,-0.07096214,-0.36809888,0.04388285,0.25219846,-0.055456847,-0.26463687,0.0031599388,-0.18981199,-0.34318176,-0.1562992,0.4856047,0.035366222,-0.6846877,-0.24888967,-0.22235242,-0.13268505,-0.3035404,0.37776542,0.17360304,0.3424865,-0.33874974,0.22283487,0.3601572,0.4517462,0.13280508,0.14164476,0.5551523,0.3402766,0.3518709,-0.011260963,0.006008627,0.03403239,0.12378627,0.19265553,0.039449934,0.35876936,-0.53626156,0.15114611,-0.0023893893,-0.25614038,-0.033456292,0.5134037,-0.3957111,-0.44118863,0.061008602,0.11757634,-0.2765785,-0.09079307,0.24957225,-0.27060083,-0.3360362,-0.12696585,-0.51872206,-0.4834913,-0.41894242,-0.09515014,-0.045703623,0.063027896,-0.0054634013,-0.2441873,-0.036832884,0.088546395,0.35010734,-0.33835015,0.011287538,-0.031463422,0.030998742,-0.27162147,-0.06381911,-0.2523448,0.28312203,0.13586861,-0.3081537,-0.26204082,-0.07911057,-0.20784004,-0.21085581,0.1030866,0.23654361,0.22553517,-0.08370663,0.027541893,-0.08261601,0.10616543,-0.08719695,0.0021993488,0.51958257,0.09988152,-0.40295526,-0.034258243,0.21810324,-0.18726271,0.019391023,-0.3162404,-0.26212788,-0.074302666,-0.09704992,-0.0648746,0.23316304,-0.26812205,-0.33132124,0.15836623,0.17651892,-0.012063566,0.17393862,0.0075924057,-0.17116265,-0.075246155,-0.22890311,0.14647844,0.53084886,-0.1416847,0.41167066,-0.023312507,0.4531545,-0.13931307,0.14980687,-0.1777587,-0.52285767,0.103861414,-0.355902,-0.24343167,0.04793377,-0.19246143,0.11758868,0.15498872,-0.017837828,0.2785292
miRNA_2,0.0029396806,-0.0061417725,-0.0070367567,-0.0076979436,-0.0035793781,0.0075288657,-0.0031251088,-0.0032727122,-0.0031297356,-0.0076009817,-0.0032435171,0.0052771494,-0.003878668,0.00429523,0.0077912807,0.001252884,0.0012277849,0.0036586635,-0.004470555,0.0017747302,0.00075624697,0.0075634513,-0.0009168014,-0.0014921464,0.0046522543,0.0060592033,-0.0014916565,0.006931491,0.0004971549,0.003494816,-0.0054735467,-0.0030428525,-0.005992355,0.00531506,-0.006326545,-0.0059339274,-0.0028057694,-0.0029903278,0.0013020113,-0.0032773856,-0.0037440509,-0.0007172562,-0.0015157908,0.0013745856,0.00097270496,-0.00012180209,-0.0042155255,0.004402209,-0.001913175,0.005630618,-0.0050785206,0.0023656506,0.0013839118,-0.004635254,-0.007535761,-0.00017411634,0.0012589097,0.0070100334,-0.001112625,0.0018578414,0.005561767,-0.0074599665,-0.00029969402,-0.0074495375,0.0064822603,0.0032787062,0.0059171095,0.0017244443,-9.51495e-05,0.005953908,-0.0071641523,-0.0052385107,0.007015899,0.0029535908,-0.0053404234,-0.0047835633,0.0027183276,0.0051758513,-0.0026646107,-0.0030849017,-0.005456969,-0.0012886636,0.005143743,0.006158825,-0.002986109,-0.0034464262,0.0048712958,-0.0011439025,-0.0058104806,0.0021733958,0.007509576,-0.0062284563,-0.0045799892,0.002402708,0.005395623,0.003033083,-0.002740316,-0.0010742024,-0.005698029,-0.0069131907,-0.0042319708,-0.0038963482,-0.005125031,-0.006935263,0.0040281992,-0.0076647624,-0.0013622567,-0.00038670748,-0.00021286309,0.0021603983,-0.0016192812,0.0059251506,-0.0017850623,-0.004541572,0.00683105,0.0043473393,-0.004743157,-0.00040293112,0.0059593525,0.002862256,-0.005305296,0.0011081491,-0.0006765481,-0.0010363646,0.0065950043,0.0044490006,0.0011287257,0.004266739
miRNA_3,0.0076939,0.0005520303,-0.0035703313,-0.0009389091,0.002537666,0.0041370336,-0.0015248265,0.0052383356,0.0071346425,0.0074008815,-0.0036407132,0.001867678,0.0010792464,0.0006521195,-0.0011268537,0.0063615516,-0.0069825966,-0.0026277676,0.0025894158,-0.006464919,-0.0047204588,-0.0064513516,0.002448015,-0.00056677125,0.0031818468,-0.0055724066,-0.002119964,0.0052611455,0.0033221077,-0.0016931798,-0.0023791734,0.0010697115,-0.0028813053,-0.0025607534,0.0033897609,-0.0028458107,0.0019066073,0.005651312,0.005698938,-0.0047584195,0.004051596,0.004247498,-0.0029151198,-0.0035658684,-0.006627893,-0.0037549138,-0.0030506942,-0.0020514186,0.0073799286,0.0045936834,-0.0038779043,-0.006589731,-0.0009689741,-0.00068285875,0.003269773,0.0030698404,5.8190897e-05,-0.005869614,0.0061355904,0.0029188972,-0.0045769066,-7.221848e-05,0.0038126595,-2.4203211e-05,0.0018703472,-0.0056355577,0.0047800317,0.0049402304,-0.0068399515,0.00076402724,-0.007288303,-0.0012440681,-0.0041063186,0.00030783936,-0.0068619996,0.0037539173,0.006624317,0.0017354991,0.0015865974,-0.003941072,0.003935732,-0.0072960965,0.0068262164,0.0035502948,0.0074520223,0.0019843858,-0.003603777,-0.000910243,-0.006952161,-0.0076842923,0.0037421044,-0.0011862684,0.0010758657,0.0044322126,0.0050830413,0.004921116,0.0042137224,-0.007479856,0.0053051133,-0.0009847824,0.0037676431,0.002697019,0.0048972648,-0.0009277817,0.0045712646,0.0055305753,-0.0052801147,0.006855283,-0.0037648715,-0.0064444225,0.0077500828,-0.0011676699,0.00051025115,-0.003053004,6.829016e-05,0.002589373,-0.00048289448,0.001347879,0.0014298726,0.005364405,-0.0070793573,-0.0075439624,0.005510887,-0.006080838,0.007482324,0.005967345,-0.006354414,-0.00034375116
miRNA_4,-0.0065724775,0.0005150661,-0.0033986736,0.007179957,-0.0026883855,0.0073444378,-3.834814e-05,-0.00071414374,0.00060490705,0.004683502,-0.0034262426,-0.00368586,-0.005354082,0.00096532516,0.0075841546,8.015707e-05,-0.005858952,0.006806718,0.006173894,0.00736556,-0.0037215427,-0.00295531,0.00085561536,0.0003762003,0.007577341,0.00047029927,2.2867694e-05,0.0066299457,-0.0054550394,0.0022901632,-0.0008967221,-0.005323505,-0.006582115,0.0029011127,-0.006186502,0.0023721717,0.0020221695,-0.0007424094,-0.002495231,-0.0032406412,0.0007175319,0.0012317114,0.0020535812,0.0013830289,-0.003080681,-0.0013249535,-0.0024716314,0.00021252781,0.0029956438,-0.0061497,-0.0061701983,0.0018430371,0.001985956,0.004957987,0.007800292,0.0018498562,-0.007422246,-0.006525209,0.0059003737,0.0022028033,0.0036097933,-0.005047146,0.0050572194,0.0043874905,0.0012558494,-0.0005165972,0.003773803,-0.0012063663,-0.0008854624,0.0051897448,0.0049633216,0.00040993467,0.00034031086,0.00033423863,0.005950419,0.0027217977,-0.006365655,-0.004446665,0.00035823882,0.0059794914,-0.004597975,0.0042618215,0.0052956324,0.004862476,-0.0041712075,-0.00055791996,0.0060228184,0.005118165,0.007662967,-0.0053620785,0.004395889,0.0071107596,0.0031460505,0.007567011,-0.007686278,0.007686535,-0.0020299163,-0.0027595405,-0.0030007195,0.0074138567,-0.0037997272,-0.0066014584,-0.005318258,-0.0075061135,0.007026946,0.004567325,0.0011676867,0.0020892527,0.0022947174,-0.004968459,0.0077368114,-0.0020556636,0.0065198187,-0.00693856,0.0068038125,0.0013489053,-0.00028472207,-0.0015079174,-0.0044861436,-0.004175894,-0.0064472854,-0.0037485566,0.0014306344,-0.004451899,-0.0049719103,0.0055949185,-0.0047647767,-0.0057923887
miRNA_5,-0.013824493,-0.21311896,-0.0792212,-0.24431574,-0.06490608,-0.6890509,-0.15925196,0.05281507,-0.10685156,0.041431025,0.19951653,-0.10978319,-0.41169035,-0.35392737,0.13132153,-0.07366922,-0.35560578,0.27453944,0.2419887,0.42330554,-0.07080437,0.60749304,0.7095762,0.19919345,0.25526407,0.131142,0.08010279,0.20072131,0.3011651,0.3104752,-0.037485976,-0.07677076,0.37651172,0.3031508,-0.058538705,0.13129072,0.17859185,-0.34460294,-0.08363237,-0.13644454,0.024419239,0.42440957,-0.56853485,-0.15121762,-0.011840541,0.17185561,-0.1635385,-0.065713726,0.100714654,0.0937071,-0.08972403,0.25459966,-0.06560443,-0.37700102,-0.51738596,-0.42166695,0.09140716,0.098110266,-0.15869534,-0.4655205,-0.38137242,-0.40274972,-0.3456029,-0.29206336,-0.011378724,-0.20496625,0.22811343,-0.46036825,-0.05370702,-0.5131483,0.3662129,0.07333889,0.015000702,-0.24126677,-0.24390507,0.08653678,0.13011023,0.066122025,-0.36771592,0.4324934,0.43829757,-0.12546323,0.3307741,-0.54639494,-0.02084136,-0.11790496,0.32269558,-0.12805012,-0.44177967,-0.10584749,-0.34612498,0.3222364,-0.06887185,-0.0799737,-0.0030314084,-0.079570204,-0.04267069,-0.16782868,0.07357797,0.12640852,-0.289236,-0.37428427,0.57300127,0.0052132183,0.26903227,0.28555024,-0.35316908,0.008668171,0.33291405,0.20215271,-0.16117677,-0.03722839,0.13814682,-0.36684874,0.16694823,0.24440655,0.3754856,-0.34962723,-0.15836295,-0.52406937,-0.43802467,-0.019014044,0.017034356,0.24955072,-0.11952782,-0.062337674,-0.03939388,-0.13458656
miRNA_6,0.48255754,-0.63890374,0.26512918,0.23714909,-0.2527041,-0.43171155,-0.009863621,0.09946323,0.01934577,0.19495665,0.81368697,0.044279218,-0.3143495,-0.14687736,0.03816235,0.16108748,-0.27857417,0.69330096,-0.16729696,0.34693637,0.14324553,0.19366015,0.3189765,0.25494674,0.1290594,-0.04733099,-0.016095318,0.32632732,0.34295115,0.17318766,-0.51447964,-0.044190273,0.14690416,-0.07559559,-0.090680555,-0.33315906,-0.16248524,-0.21565647,0.15955287,-0.21846153,-0.14645591,-0.18479352,-0.29039758,-0.12764466,0.13460313,-0.20252301,-0.5116812,-0.0048165102,0.37313277,-0.11335315,-0.27963904,-0.041046657,-0.06318626,-0.08858469,-0.42030236,0.053328324,-0.21326181,-0.056041565,0.25008604,-0.097027145,-0.21770394,0.042971194,0.46679017,-0.13013528,0.23550501,0.16723986,0.046040826,0.0019082456,0.006238207,-0.31877604,0.85041416,0.26714835,0.0117267845,-0.16962108,-0.013962248,0.27408051,0.22008328,-0.35125002,-0.30784562,0.010193936,0.04732745,0.0721988,-0.12139375,-0.35906324,-0.33321932,0.45598087,0.19400996,-0.052458655,-0.27705494,-0.077519774,-0.05402858,-0.3390629,-0.35879374,-0.14539188,-0.7180559,-0.3424684,0.13599665,0.018820822,0.29590046,-0.012095618,-0.5119147,-0.44871992,0.008201928,-0.11557511,0.22305779,0.2958483,0.32818073,-0.23307554,-0.0744494,0.19286932,0.49130824,0.07996831,0.21528047,-0.22143804,0.6022694,-0.14818902,0.16440222,-0.21559031,-0.3571567,0.116714306,-0.17431793,0.02040872,-0.18435985,-0.4857266,-0.1348338,-0.24025545,-0.102278784,-0.459662
miRNA_7,-0.01650483,-0.86786634,0.082843095,-0.44755542,0.0037176989,-0.09874632,0.5909283,-0.00070392515,-0.051860202,0.14997517,0.64308405,-0.4711914,-0.40056714,-0.55431867,0.16738659,-0.31269798,-0.36685047,0.7406968,-0.07310532,0.46081403,0.40092084,-0.023211168,0.9605991,-0.0067067817,0.031426627,-0.023823237,-0.28467008,0.16069229,0.39702752,0.54488194,0.04186732,0.04868336,0.10073,-0.49769908,0.030166535,-0.15299864,0.0088009965,-0.11770719,0.22420187,-0.12526347,0.50271994,0.32959858,-0.24192633,-0.29407728,0.45687693,-0.22568466,-0.4326662,-0.04165937,0.03059712,-0.07317521,-0.38307938,0.13223939,-0.41067863,-0.60943294,-0.23827612,-0.39947873,-0.026474327,0.21009819,0.33516362,-0.46879083,0.3188353,-0.10447342,0.43151546,-0.3786857,0.37826392,0.11346611,0.36115286,-0.26296723,-0.14369847,-0.3814602,0.3016475,0.18870032,0.14097528,-0.5642335,-0.30041206,0.10790463,0.1305978,0.036680903,0.050431725,-0.27344757,0.3964515,-0.3014888,-0.57994384,-0.3368067,-0.38332343,0.15221211,0.022417,0.5210369,0.41534188,0.42908704,-0.29059735,-0.6704765,-0.18161938,-0.4109536,-0.1896456,0.34604675,-0.05891361,-0.20423575,0.37884417,0.25731838,-0.41310206,-0.32873178,0.6093137,-0.28141558,0.49091858,0.1358939,-0.040814325,-0.03095365,0.10999213,0.18237308,0.5022199,-0.21386357,0.3293855,-0.032163512,0.41035146,0.07239294,0.19107404,-0.19459738,-0.23217033,-0.04608899,-0.062798426,-0.007906272,0.34354973,-0.05994912,-0.12781876,0.24171393,0.18870082,-0.3531969
miRNA_8,0.1215789,-0.9236114,-0.039891586,-0.39022952,0.14716396,0.23804736,0.23123136,-0.10539719,0.175617,-0.032254785,0.69747794,-0.13479841,-0.48592502,-0.26790702,0.28288075,0.08901183,-0.3148137,0.47372118,-0.14300406,0.45120582,0.023117878,-0.18653199,0.35486218,0.4702574,0.26444426,-0.18975297,0.17553994,0.19840497,0.12800157,0.01830781,-0.10473817,-0.23398493,0.47359094,0.01953721,0.17293054,0.01263184,-0.41042125,-0.54835784,-0.26300633,-0.12547214,-0.03994559,0.32714275,-0.27208325,0.14008823,0.2782798,-0.12494707,-0.15101703,0.40770996,0.262591,-0.024422288,-0.33719882,-0.22328414,-0.25639993,-0.27777937,-0.2631462,0.40215924,-0.043105096,-0.2578465,0.11182472,-0.046487518,0.2141114,0.22586782,0.11737267,-0.5598688,0.15811385,0.09872539,0.048418753,0.009331801,0.24339269,-0.562223,0.23121768,0.096374795,0.07288112,-0.79121906,-0.15684424,-0.19918324,-0.19083133,-0.30613518,-0.011768522,-0.19760403,0.30894676,-0.043095455,0.48340803,-0.23775786,0.2069972,0.12595817,0.2639029,0.008334034,-0.098710306,0.35388127,0.032275863,-0.20767361,-0.37320396,-0.64390975,0.2564408,0.28259444,-0.4694993,-0.11937064,-0.22879905,-0.0065201474,-0.20606929,-0.27185035,0.25993592,-0.031584356,0.28839564,0.32317078,-0.1110341,-0.2972031,0.65598845,0.38482594,0.18666099,0.11715469,0.09711626,-0.047564745,0.3122637,-0.37996328,0.15720358,-0.18316534,0.047324035,-0.006990108,-0.50802416,0.2249282,-0.32169247,0.09895312,-0.29003003,-0.054033868,-0.2511471,0.1696259
miRNA_9,0.68841755,-1.1501359,-0.08568695,-0.5480018,-0.099541225,-0.34466422,0.6711576,-0.07759579,-0.13410704,0.007140084,0.60286003,-0.6646966,-0.1531141,-0.0065556914,-0.5567413,-0.2147734,0.026090717,0.9859776,-0.03194021,0.2342139,0.11508776,-0.15200146,0.34415323,0.31675372,0.3410536,-0.62745404,0.3305821,0.019673672,0.48068687,0.484885,-0.5471064,-0.07153521,0.74661034,0.31686696,0.13262002,-0.40464437,-0.14843364,0.21408819,-0.19950752,-0.23712793,-0.5541796,0.09093538,-0.107716255,0.121055685,0.31684127,-0.3562883,-0.075773425,0.031240363,0.3648327,-0.13962574,-0.31774345,0.0356078,-0.23738292,-0.3987443,-0.4237148,0.12815154,-0.44446874,-0.1924395,-0.1920685,-0.5583482,0.07856008,0.14054982,0.1194048,-0.30814797,0.25857744,-0.05167146,-0.18455184,-0.26992527,0.01317145,-0.07838263,0.1998291,0.39750832,-0.16408782,-0.33438656,0.29714,0.055575535,0.48375666,-0.23766483,-0.13659704,-0.023404393,0.15606269,0.004862514,-0.12495297,-0.50772685,0.20354797,0.388964,0.23553716,0.058398306,-0.20860691,-0.15713055,0.17882167,0.20984012,-0.046838358,-0.31177706,0.56289464,0.25868794,-0.09826039,-0.031425647,-0.13251738,0.31404096,-0.14034732,-0.07014656,0.7489463,-0.1114364,0.45223248,0.1686,0.10747434,-0.23721057,-0.023906644,0.5559693,0.5933566,-0.13373013,0.24550322,0.012123037,0.06340279,0.31129676,0.25667515,-0.26938623,-0.19891694,0.047787055,-0.04879646,-0.007676994,-0.69026756,0.19260204,0.019573854,0.21757272,-0.28883386,-0.6497359
