,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,0.27873713,0.07530042,0.24701542,-0.06666155,-0.15042713,0.10268603,0.32694444,0.24380176,0.21287394,0.18396802,0.31360257,-0.27700344,-0.30238706,-0.10235194,-0.019810192,-0.057792656,0.08236571,0.37978983,-0.3033903,0.18108392,0.32936224,0.110634804,0.11260605,0.06438882,0.04699716,0.29155907,-0.044757254,-0.12583376,-0.035903912,-0.05765085,-0.18237978,0.035796057,-0.15300906,-0.031250197,0.31909126,0.16844957,0.15608342,-0.18488446,-0.31979,-0.07864792,-0.01491715,0.023531325,0.30198196,-0.1967695,0.039222863,-0.17598027,-0.32622898,0.124837115,-0.024565049,0.19215283,0.08572005,0.10650775,0.03730243,-0.11170215,0.038758226,-0.13922496,0.14921433,-0.1444554,0.15685426,0.19658306,-0.14836663,-0.27096117,-0.5098436,0.29305014,0.3404447,0.36590934,-0.008702703,0.2631918,0.1530421,-0.11458531,0.16994064,-0.08662186,0.2538612,-0.20476869,0.45957062,-0.27107167,-0.41312268,-0.17054237,-0.07552799,-0.27836606,-0.07837068,-0.008515474,-0.37045214,0.5748494,-0.037345037,0.0048576253,-0.24997628,-0.72710377,0.09054684,0.096214436,-0.2425078,-0.69504094,-0.04795796,0.39083964,-0.012853454,0.059149276,-0.09502855,0.22233234,0.016406473,0.18608503,-0.33590055,0.19935766,0.06550692,-0.28778535,-0.15910338,0.04698877,-0.37509513,0.03512043,0.14305301,0.010923303,0.022874244,0.12883353,0.028236909,0.36605674,0.7073723,0.15321521,0.16731751,-0.0862474,-0.23020928,-0.19591138,0.016457213,-0.12049534,0.12963146,0.3847744,0.2875783,0.07186789,0.07281676,-0.16249
miRNA_1,0.24542269,0.13271537,0.07907457,0.28908336,0.09682744,0.4267514,-0.6226103,-0.24883805,0.17616153,0.30532688,0.04466166,-0.35722414,0.12181339,-0.032661937,-0.07532445,0.0047060577,-0.26831666,-0.037945956,-0.05552033,-0.16527559,-0.08028394,0.35727572,0.23976626,-0.3393572,0.107206285,-0.041156318,-0.21659751,0.06143898,-0.2093952,-0.038284138,0.021699583,0.111206755,0.045445897,0.035090473,-0.01880655,0.14412747,-0.10598622,0.2634598,0.014614397,0.20527346,0.022966044,0.1610565,-0.12646124,-0.7514135,0.2977648,-0.31806102,0.13468033,-0.3128744,0.13983443,0.06639153,-0.42657167,0.30856344,0.3137784,0.050188154,-0.06339113,-0.16242054,0.28644052,-0.043015156,-0.22209784,0.22462612,-0.5469629,-0.3032345,0.5218917,0.252403,-0.006253429,0.06737069,0.48755822,0.097743675,-0.48396334,-0.13983952,-0.13219488,-0.25056309,0.05833639,-0.21721628,0.072919324,-0.19838238,-0.041866675,-0.19068918,0.37219766,-0.21395907,0.26108354,0.20741239,0.015361513,-0.062439747,0.008128523,0.31505853,-0.03280667,-0.31253186,-0.081268005,-0.21403302,0.01932974,-0.12123984,0.07240074,0.07494053,0.15358108,0.30411184,0.008771956,-0.055022694,0.025880888,0.33268273,-0.23335657,0.056726906,0.07041191,0.40840414,0.2370783,-0.29335654,0.22909196,0.16461554,0.080370784,0.044145867,-0.013007676,-0.13123856,-0.1374119,0.01718713,0.10639214,-0.15205458,-0.020327656,0.24670953,0.17393966,0.06256441,-0.04254048,-0.029863652,-0.24168101,0.26475653,-0.03305811,0.096828,0.22103973,-0.14656399
miRNA_2,0.31539997,0.10285175,-0.15008967,0.040141504,-0.065546446,-0.21180916,0.12468087,0.060957015,0.17176266,0.047989517,0.14721343,-0.19140981,0.28566146,-0.2160267,0.1542403,0.014294025,-0.14659373,-0.09706561,-0.28237748,-0.18364939,0.15866536,0.058818895,0.08853086,-0.33807918,-0.17984116,0.29150683,-0.18770441,-0.021010812,-0.25890437,-0.010304776,-0.28385583,-0.16585799,-0.23108236,0.121909775,0.11680746,-0.06595823,0.32589802,0.34653935,-0.03826238,0.06537374,0.003417695,-0.08625903,-0.36318946,-0.14944358,0.14631294,-0.07023275,-0.18422303,0.035912506,0.10277986,-0.008084774,-0.22263797,-0.036090247,-0.059762783,-0.078204095,-0.10739921,-0.13431832,0.16867192,-0.32445723,0.0219135,-0.38957807,-0.2499299,0.031492274,0.09865865,-0.07858522,0.18090203,-0.004019754,0.18861683,0.076040104,-0.24129052,-0.3215211,-0.38701788,-0.24020948,0.20076889,-0.12405516,0.24884899,0.08698051,0.21024154,0.08610141,-0.013473041,-0.6220744,0.25576228,0.26010615,0.056093134,-0.085641704,-0.07407003,0.11056377,-0.019580124,-0.041542348,0.088884465,-0.052643865,-0.47140417,-0.13265151,0.16936485,-0.08135799,0.096615754,0.36837852,-0.016636787,-0.35832855,0.3278956,-0.1829376,0.03562831,0.14375873,0.3046744,0.06499699,0.08392938,-0.19866301,-0.053361684,0.24689911,0.22632492,-0.15243974,0.187899,0.21214019,-0.10571424,-0.063567325,-0.045938376,-0.20283586,0.34796965,0.26664904,0.04088341,0.29371837,-0.12892401,-0.10244791,0.017747065,0.2895467,0.01520878,-0.21861263,-0.16335456,-0.09702295
miRNA_3,0.33641446,0.13132517,-0.22619565,0.067011684,-0.086305365,-0.17573187,0.09422943,0.08231499,0.078419745,0.07573592,0.10174267,-0.1614093,0.26337302,-0.23148625,0.16554661,0.041103996,-0.12816672,-0.09357853,-0.28537542,-0.21940462,0.12886062,0.064118326,0.1034598,-0.3194989,-0.17815982,0.28286278,-0.18560307,0.002040155,-0.28262037,0.0072786743,-0.24632743,-0.17680526,-0.19708347,0.14961678,0.14488712,-0.04378626,0.32408392,0.40590668,-0.11433347,0.045175433,-0.06712197,-0.035643008,-0.39908442,-0.16046467,0.12690493,-0.014091534,-0.16840968,0.046407424,0.09661741,-0.0132543305,-0.1977927,-0.020210735,-0.09181214,-0.088470876,-0.06064076,-0.13414335,0.14302328,-0.37692958,-0.0560759,-0.4327181,-0.26234168,0.021062355,0.11642946,-0.12879154,0.2314179,0.0045952024,0.15358895,0.12184193,-0.22657008,-0.27860373,-0.3805866,-0.25642398,0.1750985,-0.12161379,0.24326491,0.029107088,0.19484763,0.0778825,-0.038524915,-0.5806087,0.18832965,0.26027247,0.071510196,-0.1043151,-0.075615086,0.0835399,-0.02316408,-0.052744195,0.12758584,-0.07975333,-0.4747171,-0.16195779,0.243412,-0.112549156,0.14059317,0.4006247,-0.047318228,-0.3530598,0.42797068,-0.10048589,0.045945402,0.14094126,0.27024746,0.12227257,0.0739642,-0.16816704,-0.019933533,0.22370563,0.232159,-0.10259757,0.23276727,0.19923481,-0.15799505,-0.09282491,-0.05618552,-0.24532445,0.3709826,0.25719616,0.009535237,0.28992566,-0.19378966,-0.10763912,0.008596538,0.26688328,0.0058502257,-0.24368419,-0.16153623,-0.034771323
miRNA_4,0.31173173,0.06491663,-0.18052343,0.050280854,-0.17431487,-0.36200446,0.09118649,0.09194103,0.090017736,0.085770704,0.1597891,-0.11222157,0.23455136,-0.18223976,0.12713717,0.05461875,-0.15316916,-0.12956858,-0.27096242,-0.18554534,0.2264457,-0.07204141,0.15257308,-0.20912498,-0.19917582,0.26914686,-0.2227367,-0.10109902,-0.13457125,0.024977086,-0.17970142,-0.14276713,-0.2659574,0.12540679,0.12536202,-0.074616656,0.28959838,0.42773578,-0.077947654,-0.04248682,0.02570968,0.02085678,-0.48670748,-0.16250797,0.13673894,-0.012707184,-0.22730467,0.09580314,0.11875375,0.0863509,-0.21960409,-0.09916263,0.06554811,0.049601212,-0.1487116,-0.14097878,0.095928356,-0.3317373,-0.06810364,-0.3411509,-0.19780284,0.057931937,0.115871005,-0.04448849,0.32384795,0.05611688,0.12959369,0.09500957,-0.2642672,-0.26592118,-0.40683532,-0.27141422,0.1429346,-0.10346145,0.28527927,0.010937003,0.112851776,0.06061269,0.0817066,-0.50843567,0.15497905,0.27551535,0.10895659,0.021175016,-0.03215093,0.018112944,-0.047649674,-0.09669264,0.1433799,-0.059697617,-0.5972053,-0.18271734,0.24494661,-0.16466807,0.08149664,0.4248485,-0.04733866,-0.34718227,0.3990762,-0.05897473,0.06304662,0.07988609,0.25153878,0.051545184,0.10123075,-0.12696639,-0.10277836,0.21602143,0.22827847,-0.102040894,0.17114402,0.23015177,-0.21933816,-0.097936705,-0.0815726,-0.27137274,0.3851296,0.3246151,0.070240766,0.3306202,-0.15346327,-0.13619609,0.085895374,0.38053593,-0.07800915,-0.1299144,-0.21647975,-0.06488379
miRNA_5,0.279417,-0.011776166,0.008297533,-0.39872742,0.18916997,0.4489598,-0.17645068,-0.33345988,0.009264036,0.3819811,0.30635995,-0.33974063,-0.13404223,-0.42472318,-0.044862166,0.01931029,0.070851885,0.08069562,-0.15659074,0.19579023,0.16066015,0.01927667,-0.122897625,-0.4589096,-0.6379412,0.05818636,0.07693091,-0.15860441,-0.31357312,0.18620573,-0.1452522,-0.3245018,0.01088507,0.06340668,0.04087805,-0.15589741,0.06125178,-0.2558829,0.06605072,-0.15115039,0.06593738,0.081464864,-0.12608936,-0.27165803,0.20149754,0.028279632,-0.11611907,0.567796,0.03524149,-0.038815934,-0.027570048,0.06970485,0.07457237,0.07806325,-0.06291343,-0.11282519,0.5119971,-0.014951505,-0.019848034,-0.4434118,-0.31397587,0.10472549,0.048476443,-0.3577799,-0.17523932,0.19120574,0.081987984,-0.06428679,-0.08120938,-0.09846503,-0.12253239,-0.29410958,0.40200937,-0.33964854,0.11078504,0.0042557125,-0.10079639,0.04466461,0.0802218,-0.03646209,0.027685443,0.019348223,-0.029049728,-0.14060158,-0.14415087,-0.114742726,0.11910695,-0.2643496,-0.065819226,-0.115330055,-0.041797116,-0.020469103,0.180192,-0.40311828,-0.25707588,0.012901158,-0.16879593,-0.30953965,0.00041080904,0.14034946,-0.098085195,0.13786803,-0.09356848,-0.06042688,0.0101270415,-0.22491346,0.23428807,-0.25677255,0.10096815,-0.1425223,0.1060725,0.030966496,-0.16533941,0.23842275,-0.28140408,-0.06608629,0.10670102,0.40138134,-0.36824864,-0.22472708,0.32380727,-0.12555638,0.04516871,0.040332574,-0.2311632,-0.12390213,-0.32917416,-0.033186547
miRNA_6,0.023865903,0.21514969,-0.086135365,-0.035618275,-0.068914056,-0.025962943,0.084613994,-0.24880187,-0.19495845,0.20653339,0.35577616,-0.488427,0.055023745,-0.15418275,-0.18213704,-0.10379517,-0.15295379,-0.16149653,-0.061450303,0.2780457,0.105079405,-0.06964836,0.028672153,-0.47651842,-0.33311975,0.13039075,0.19426791,0.2351048,-0.1660287,0.24410065,-0.03966017,0.06593882,-0.22669826,0.16749322,0.20722516,0.004063428,0.21610346,-0.09411303,-0.23731421,0.17762361,0.43287984,0.3430629,-0.2378837,-0.15334925,0.26523784,-0.0484738,-0.37480786,0.08526889,0.23177642,-0.34898013,0.056729455,0.13507433,0.09993889,0.112858936,0.34274805,-0.054012004,0.17585716,0.0035591377,0.24386863,-0.6410398,-0.31543285,0.23750415,-0.10589291,0.10720494,0.14124987,-0.36171943,0.019680353,-0.026710076,0.17146589,0.13319515,-0.1446171,-0.54519415,0.0927447,-0.34584394,-0.030626256,0.3314791,0.13244528,0.05259018,-0.13032031,-0.721665,0.040421437,0.08563454,0.36475158,-0.08238229,-0.24946423,0.09794058,0.03368099,-0.27151203,-0.02010869,-0.25924143,-0.20654036,-0.069282345,-0.22826992,-0.039704278,0.10996721,0.16050775,0.0034301812,-0.065639526,-0.045268036,0.1831743,-0.09395005,-0.06539868,-0.010849022,-0.018499348,0.053325463,-0.012819374,-0.016058557,0.018016115,0.07476649,0.21712576,0.33776516,0.04446403,-0.36604995,-0.06960095,-0.2371378,0.08686844,0.16757132,0.25667125,0.14836627,-0.0020063904,-0.15064095,0.18752345,0.0744827,0.18843347,0.07107173,-0.10681883,-0.3681298,-0.05461873
miRNA_7,0.3250592,0.101379685,-0.006627486,-0.059172425,-0.07493569,-0.021829152,-0.04498683,-0.34722698,0.09481117,0.19386071,0.28723916,-0.14608079,0.08534247,-0.21977064,0.33135203,0.10141187,-0.11548834,-0.31637198,-0.46294183,0.019351203,-0.1285076,-0.12832628,0.16515589,-0.17074095,-0.20108354,0.13943309,-0.38258514,-0.17831875,-0.21018857,-0.0063034864,-0.12299801,0.059951182,-0.14810134,0.33142927,0.04223283,-0.093326114,0.117426455,-0.36539194,0.24447855,-0.48824736,0.021583812,0.23356655,-0.50345767,-0.3335749,0.21247987,0.09267153,0.07504209,0.069172285,0.42531273,0.16835387,-0.25714782,-0.17866725,0.05758471,0.2694785,0.32970175,0.0027905807,-0.3470142,-0.18154263,0.013589742,-0.5107697,-0.12890144,-0.061976504,0.2920308,0.105141595,0.056314006,-0.26013902,0.5290122,-0.19289513,-0.21376874,-0.23485495,-0.11661549,-0.048081804,0.22907695,-0.04455932,0.3505438,0.20765573,-0.008437192,-0.06514952,0.27501383,-0.10091921,-0.16970627,0.14890698,0.26840195,0.03830475,0.042363636,-0.041704185,-0.046793025,-0.3526424,-0.22211422,-0.103524104,-0.08580982,-0.018304685,0.1581656,-0.23386887,0.28375724,0.12986091,0.079814866,0.011441642,0.12002122,-0.20796551,-0.14859393,-0.041725677,-0.008324995,-0.10565975,-0.09487923,0.22598498,-0.13949805,-0.022469485,-0.0030055356,0.1987355,0.05864563,0.015496244,0.08420605,-0.11630097,-0.18932621,-0.08328665,-0.13083497,0.2617414,-0.15973976,0.22527067,0.07858951,-0.3095354,0.27335146,0.5262485,-0.23242886,-0.56035686,-0.2532904,-0.12673353
miRNA_8,0.14798957,0.09010292,0.3899268,0.011974893,-0.35415134,0.29957256,-0.19052418,-0.014151225,0.22379424,0.2546671,0.24199234,-0.39820597,-0.28053787,-0.41777468,-0.11120356,0.41504014,-0.04259985,0.3368474,-0.16610324,-0.11819801,-0.117762394,-0.021067366,0.24840371,-0.32201716,0.061056167,0.44460562,-0.21153519,-0.06714162,-0.50324905,-0.050594002,-0.05759428,-0.37301427,-0.15364172,0.10721998,0.052607592,-0.3016422,0.11232575,-0.0265639,0.3271647,0.051151466,0.24657136,0.013240627,-0.27505797,0.11614755,0.38506252,0.14564124,-0.18750623,-0.16493636,-0.12700039,-0.21084012,0.23861688,0.11843335,-0.31528747,-0.22814277,-0.07100152,-0.1940962,0.34869596,-0.064119935,-0.14403866,-0.34735724,-0.33324876,0.44971302,0.4413911,0.09094606,0.25118905,-0.2669618,-0.03317792,-0.2769866,-0.017542157,-0.15950742,-0.14327006,-0.30236682,0.25999784,-0.17585969,0.36066845,-0.21396416,0.11751278,0.11428982,-0.038261548,-0.10984484,-0.012868184,0.1061481,0.2090219,0.041961573,-0.29088718,0.4383562,0.123727396,-0.2838037,0.17892776,0.019977313,-0.30670175,-0.29304892,0.2562648,-0.059296507,0.016089497,0.07650744,0.13099079,0.023569562,0.43308914,0.060641058,0.30065322,0.027007798,0.116096795,0.049527485,0.13514204,0.1740487,-0.033666126,-0.21335544,0.07426002,0.083619975,0.20491187,0.23027928,-0.09315185,0.3507738,-0.3076364,-0.19941743,0.104903415,0.1445598,0.022708979,-0.04098308,0.18827346,-0.20067999,-0.036873735,-0.03312687,-0.14244676,-0.27260894,-0.05081035,-0.033629704
miRNA_9,0.54302037,-0.024154296,-0.13031444,-0.27601716,0.020241028,0.2737402,-0.104989894,-0.14637111,-0.15214399,0.39273566,0.22896647,-0.00705239,-0.4258458,-0.23114288,0.06948149,0.3308838,-0.10547554,0.046417214,-0.11998684,0.40122274,-0.061637852,0.24838614,-0.14935738,-0.39633945,-0.16636285,0.1478366,0.12202924,0.011314416,-0.15363291,0.18187241,0.24830806,0.05347846,0.088561505,-0.15939473,-0.056075294,0.41850308,0.12516738,0.07633266,0.29201344,-0.12959659,0.029595068,0.035366457,-0.30323127,-0.21675532,-0.17389894,0.076249346,-0.14628522,-0.16929936,0.4928892,-0.040979136,-0.091247834,0.5502907,0.18986122,0.083354004,0.5067994,-0.19416064,-0.097408675,-0.061696954,-0.14529756,-0.46338782,0.024855757,-0.44364956,0.2596682,-0.457485,-0.0014557915,-0.068661794,0.14405987,-0.024667991,0.06848499,-0.35897663,0.028951112,-0.1852377,-0.013302233,-0.21782787,0.37414312,-0.3020428,0.078428484,-0.0760149,0.08787587,0.078014374,-0.1273359,0.19144662,-0.15305418,-0.013368752,-0.0031899246,-0.002311536,-0.29770318,-0.40829423,-0.111950606,-0.083445735,0.18579651,0.40326554,-0.16310552,-0.48456544,0.2680361,-0.09226457,0.04314016,0.079363525,0.21735318,-0.22928265,-0.21284565,-0.11915697,0.06312097,0.36039963,0.008563194,-0.038538456,-0.005833194,-0.13647418,-0.17457186,0.13219035,0.3409877,-0.28147656,-0.18322617,-0.055745974,-0.4506394,0.15683478,0.0003838907,0.35346937,-0.17071208,-0.3441037,0.15017378,0.19323683,-0.03113116,0.09314135,-0.28104743,-0.33357665,0.010760436,0.06214178
